,current_focus_point,time
33534,7,1710159905.217083
33535,7,1710159905.2183053
33536,7,1710159905.2192185
33537,7,1710159905.2200053
33538,7,1710159905.2209172
33539,7,1710159905.221793
33540,7,1710159905.222795
33541,7,1710159905.2237058
33542,7,1710159905.2246156
33543,7,1710159905.2255342
33544,7,1710159905.226387
33545,7,1710159905.2273061
33546,7,1710159905.228311
33547,7,1710159905.2292178
33548,7,1710159905.230184
33549,7,1710159905.2311199
33550,7,1710159905.231936
33551,7,1710159905.232971
33552,7,1710159905.2339156
33553,7,1710159905.2347274
33554,7,1710159905.2356398
33555,7,1710159905.2365773
33556,7,1710159905.2375946
33557,7,1710159905.2387624
33558,7,1710159905.2399802
33559,7,1710159905.241207
33560,7,1710159905.2423863
33561,7,1710159905.2436469
33562,7,1710159905.244924
33563,7,1710159905.2460442
33564,7,1710159905.247258
33565,7,1710159905.2485545
33566,7,1710159905.2498024
33567,7,1710159905.250961
33568,7,1710159905.2519515
33569,7,1710159905.2535987
33570,7,1710159905.254759
33571,7,1710159905.2558885
33572,7,1710159905.2572286
33573,7,1710159905.258569
33574,7,1710159905.2598295
33575,7,1710159905.2610943
33576,7,1710159905.2623532
33577,7,1710159905.2636223
33578,7,1710159905.2649446
33579,7,1710159905.2662096
33580,7,1710159905.267407
33581,7,1710159905.2682803
33582,7,1710159905.2695
33583,7,1710159905.2706254
33584,7,1710159905.2718267
33585,7,1710159905.273097
33586,7,1710159905.2742858
33587,7,1710159905.275534
33588,7,1710159905.276831
33589,7,1710159905.278119
33590,7,1710159905.2794075
33591,7,1710159905.2806969
33592,7,1710159905.2820017
33593,7,1710159905.2831516
33594,7,1710159905.2838626
33595,7,1710159905.2852473
33596,7,1710159905.2865024
33597,7,1710159905.2878268
33598,7,1710159905.2889202
33599,7,1710159905.2901278
33600,7,1710159905.2914212
33601,7,1710159905.2926877
33602,7,1710159905.293896
33603,7,1710159905.2950807
33604,7,1710159905.296324
33605,7,1710159905.297604
33606,7,1710159905.298711
33607,7,1710159905.29977
33608,7,1710159905.3007984
33609,7,1710159905.301947
33610,7,1710159905.3031504
33611,7,1710159905.3043911
33612,7,1710159905.3056312
33613,7,1710159905.306825
33614,7,1710159905.3081143
33615,7,1710159905.3092294
33616,7,1710159905.3104978
33617,7,1710159905.3116183
33618,7,1710159905.3128126
33619,7,1710159905.3140981
33620,7,1710159905.3151271
33621,7,1710159905.3160968
33622,7,1710159905.3172727
33623,7,1710159905.3183897
33624,7,1710159905.3193922
33625,7,1710159905.320497
33626,7,1710159905.3216472
33627,7,1710159905.3229058
33628,7,1710159905.3241363
33629,7,1710159905.3253117
33630,7,1710159905.3263047
33631,7,1710159905.3276029
33632,7,1710159905.3288913
33633,7,1710159905.330134
33634,7,1710159905.3313835
33635,7,1710159905.3321989
33636,7,1710159905.3334649
33637,7,1710159905.334627
33638,7,1710159905.335866
33639,7,1710159905.337072
33640,7,1710159905.3380802
33641,7,1710159905.3392603
33642,7,1710159905.3405168
33643,7,1710159905.3417299
33644,7,1710159905.3429704
33645,7,1710159905.344289
33646,7,1710159905.3455882
33647,7,1710159905.3468478
33648,7,1710159905.348129
33649,7,1710159905.349459
33650,7,1710159905.3507166
33651,7,1710159905.3519483
33652,7,1710159905.353013
33653,7,1710159905.3540697
33654,7,1710159905.3553355
33655,7,1710159905.356673
33656,7,1710159905.357856
33657,7,1710159905.3590639
33658,7,1710159905.3603601
33659,7,1710159905.3616421
33660,7,1710159905.3627903
33661,7,1710159905.3641255
33662,7,1710159905.3654215
33663,7,1710159905.3666685
33664,7,1710159905.3679368
33665,7,1710159905.3691385
33666,7,1710159905.3700552
33667,7,1710159905.3711345
33668,7,1710159905.3720148
33669,7,1710159905.3732038
33670,7,1710159905.37432
33671,7,1710159905.3756065
33672,7,1710159905.3769107
33673,7,1710159905.3780463
33674,7,1710159905.3791544
33675,7,1710159905.380503
33676,7,1710159905.3817985
33677,7,1710159905.3831275
33678,7,1710159905.3846118
33679,7,1710159905.3861568
33680,7,1710159905.387565
33681,7,1710159905.3887465
33682,7,1710159905.3899684
33683,7,1710159905.3913014
33684,7,1710159905.392609
33685,7,1710159905.3939395
33686,7,1710159905.3949637
33687,7,1710159905.396137
33688,7,1710159905.3974626
